,Image,F1,Jaccard,Recall,Precision
105,893.png,0.931769722814499,0.872255489021956,0.9732739420935412,0.8936605316973415
106,2606.png,0.7921061585573326,0.655774647887324,0.7205199628597957,0.8794862108046846
107,11.png,0.9682539682539684,0.9384615384615385,0.9889753566796369,0.9483830845771144
108,2980.png,0.9297082228116711,0.8686493184634448,0.8784461152882206,0.9873239436619718
109,3011.png,0.0,0.0,0.0,0.0
110,717.png,0.5928648648648648,0.4213275968039336,0.4227567067530065,0.992040520984081
111,277.png,0.9857909693716451,0.9719800747198007,0.9842370744010088,0.9873497786211258
112,2979.png,0.940337224383917,0.8873929008567931,0.8995037220843672,0.9850543478260869
113,2275.png,0.8600143575017947,0.7544080604534005,0.7582278481012659,0.9933665008291874
114,1866.png,0.5206008583690988,0.3519002030751378,0.3519002030751378,1.0
115,1344.png,0.935108153078203,0.878125,0.9123376623376623,0.9590443686006825
116,2137.png,0.7381837493361656,0.585016835016835,0.5955441302485004,0.9706703910614525
117,2072.png,0.7601720145550778,0.6131270010672358,0.948019801980198,0.6344561016013253
118,1137.png,0.9200376293508937,0.8519163763066202,0.8624338624338624,0.9858870967741935
119,1906.png,0.9460076045627378,0.8975468975468975,0.9708636836628513,0.9223924864063272
120,1495.png,0.962962962962963,0.9285714285714286,0.9612676056338029,0.9646643109540636
121,694.png,0.8542227003765466,0.7455399061032864,0.9043280182232346,0.8093781855249745
122,336.png,0.967391304347826,0.9368421052631579,0.9484902309058615,0.9870609981515711
123,1560.png,0.9447453954496209,0.8952772073921971,0.9797752808988764,0.9121338912133892
124,1546.png,0.9566968781470293,0.916988416988417,0.9834368530020704,0.9313725490196079
125,1969.png,0.6914191419141914,0.5283732660781841,0.9812646370023419,0.5337579617834395
126,2459.png,0.9500972132209982,0.9049382716049382,0.9418567298425956,0.9584831644328212
127,587.png,0.9719495091164095,0.9454297407912687,0.9638386648122392,0.9801980198019802
128,2662.png,0.6904761904761904,0.5272727272727272,0.5323224261771747,0.9823269513991163
129,2930.png,0.8915989159891599,0.80440097799511,0.9989878542510121,0.8050570962479608
130,943.png,0.9528535980148884,0.909952606635071,0.9320388349514563,0.9746192893401016
131,1794.png,0.901840490797546,0.8212290502793296,0.8305084745762712,0.9865771812080537
132,3043.png,0.42501568709475007,0.26985391766268263,0.9990167158308751,0.26992561105207225
133,2380.png,0.9240679824561403,0.8588535031847134,0.8672498070491381,0.9888530360809622
134,126.png,0.9553805774278215,0.914572864321608,0.9479166666666666,0.9629629629629629
135,1147.png,0.9137055837563451,0.8411214953271028,0.989010989010989,0.8490566037735849
136,1883.png,0.9342019543973942,0.8765281173594132,0.8840937114673243,0.9903314917127072
137,2176.png,0.046444121915820036,0.0237741456166419,0.02513747054202671,0.3047619047619048
138,2304.png,0.8488372093023256,0.7373737373737373,0.7669074195666448,0.950366151342555
139,369.png,0.9125748502994012,0.8392070484581498,0.8542600896860987,0.9794344473007712
140,2228.png,0.8922670191672175,0.8054892601431981,0.9,0.8846657929226737
141,2114.png,0.9351951306838525,0.8782784129119031,0.984174830444612,0.8908594815825375
142,451.png,0.9539748953974896,0.912,0.912,1.0
143,1916.png,0.36241610738255037,0.22131147540983606,0.22131147540983606,1.0
144,2349.png,0.49319213313161875,0.3273092369477912,0.3273092369477912,1.0
145,2530.png,0.568274259151656,0.3969155844155844,0.8670212765957447,0.4226447709593777
146,1419.png,0.9495268138801262,0.9039039039039038,0.9804560260586319,0.9204892966360856
147,86.png,0.9044289044289044,0.825531914893617,0.9826338639652678,0.83775447254781
148,2725.png,0.8587133550488599,0.7524081341419907,0.9402585822559073,0.7901835893593107
149,1013.png,0.8785357737104826,0.7833827893175074,0.88,0.8770764119601329
150,777.png,0.7136150234741784,0.5547445255474452,0.9485179407176287,0.5719661335841957
151,2995.png,0.6791226645004061,0.5141451414514145,0.6920529801324503,0.6666666666666666
152,2992.png,0.952557200538358,0.9094121426276903,0.9599864360800271,0.9452420701168615
153,1968.png,0.9579889807162534,0.9193654990085922,0.9481935923653715,0.9679888656924147
154,1191.png,0.8763693270735524,0.7799442896935933,0.9507640067911715,0.8127721335268505
155,2956.png,0.8901651112706389,0.8020698576972833,0.8401084010840109,0.9465648854961832
156,2187.png,0.9431870669745959,0.8924825174825175,0.9779693486590039,0.9107939339875112
157,2248.png,0.8286802030456853,0.7074756229685807,0.7353603603603603,0.9491279069767442
158,1452.png,0.9444444444444444,0.8947368421052632,0.9272727272727272,0.9622641509433962
159,2525.png,0.8674790555978675,0.7659717552118359,0.8153185397279885,0.9267697314890154
160,1108.png,0.7311827956989246,0.576271186440678,0.5920398009950248,0.9558232931726908
161,2787.png,0.8483245149911817,0.7366003062787136,0.901875,0.8007769145394007
162,602.png,0.8824874256973023,0.7896890343698855,0.7903357903357904,0.9989648033126294
163,227.png,0.7467811158798282,0.5958904109589042,0.9630996309963099,0.6098130841121495
164,1567.png,0.9008042895442359,0.8195121951219512,0.9824561403508771,0.8316831683168316
165,1076.png,0.0,0.0,0.0,0.0
166,2565.png,0.8715890850722312,0.7724039829302988,0.7853630315302286,0.9790840245221781
167,1075.png,0.0,0.0,0.0,0.0
168,824.png,0.2865027596588058,0.167203513909224,0.167203513909224,1.0
169,2543.png,0.9191090269636577,0.8503253796095445,1.0,0.8503253796095445
170,460.png,0.9643153526970953,0.9310897435897436,0.9493464052287581,0.9797639123102867
171,1751.png,0.9503816793893131,0.9054545454545454,0.9576923076923077,0.9431818181818182
172,1390.png,0.93541518807665,0.8786666666666667,0.8869448183041723,0.9894894894894894
173,754.png,0.6429163214581608,0.47374847374847373,0.476365868631062,0.9885350318471338
174,117.png,0.546620358001603,0.3761029411764706,0.3894175866006852,0.9166666666666666
175,941.png,0.8609625668449197,0.755868544600939,0.8228279386712095,0.902803738317757
176,347.png,0.949085123309467,0.9031037093111279,0.9559294871794872,0.9423380726698263
177,247.png,0.8988505747126437,0.8162839248434238,0.9750623441396509,0.8336886993603412
178,837.png,0.0,0.0,0.0,0.0
179,1225.png,0.435244161358811,0.2781546811397558,0.6528662420382165,0.32643312101910826
180,1428.png,0.9665587918015102,0.9352818371607515,0.9451476793248945,0.9889624724061811
181,2926.png,0.23934426229508196,0.13594040968342644,0.13594040968342644,1.0
182,1774.png,0.8798521256931607,0.7854785478547854,0.9740791268758526,0.802247191011236
183,2107.png,0.8511061396967439,0.7408048463868455,0.7817351598173516,0.9339879978177851
184,552.png,0.920058852378617,0.851952770208901,0.96900826446281,0.8758169934640523
185,925.png,0.9632465543644717,0.9290989660265879,0.9617737003058104,0.9647239263803681
186,284.png,0.0,0.0,0.0,0.0
187,2780.png,0.0,0.0,0.0,0.0
188,860.png,0.898558121730254,0.8158016682113067,0.832387706855792,0.976157471583033
189,375.png,0.9787083037615331,0.9583043780403058,0.9846483398786148,0.9728395061728395
190,834.png,0.9020547945205479,0.8215845290081097,0.9407142857142857,0.8664473684210526
191,2642.png,0.0,0.0,0.0,0.0
192,1375.png,0.8331108144192257,0.7139588100686499,1.0,0.7139588100686499
193,681.png,0.983184965380811,0.9669260700389105,0.9845483359746434,0.9818253654681944
194,384.png,0.9665373423860331,0.9352416705771938,0.9925298804780877,0.9418714555765595
195,2154.png,0.0,0.0,0.0,0.0
196,1657.png,0.935672514619883,0.8791208791208791,0.9937888198757764,0.8839779005524862
197,69.png,0.9455060155697099,0.8966442953020134,0.9896296296296296,0.9051490514905149
